no,last_date,code,name,rmse,train_cnt,last_close_money,last_pred_money,last_pred_ratio,trade_money
1,2020.03.20,000440,중앙에너비스,0.016876263543963432,0,5160.0,8996.174800563604,74.34%,10530.644720789045
2,2020.03.20,025950,동신건설,0.003517133416607976,0,4090.0,4953.746520355344,21.12%,5299.245128497481
3,2020.03.20,005670,푸드웰,0.02245054952800274,0,4000.0,6177.841401696205,54.45%,7048.977962374687
4,2020.03.20,017650,대림제지,0.016167325899004936,0,1125.0,1689.7087445482612,50.20%,1915.5922423675656
5,2020.03.20,006110,삼아알미늄,0.012760343961417675,0,2730.0,4145.070840418339,51.83%,4711.099176585674
6,2020.03.20,023150,MH에탄올,0.008219883777201176,0,7100.0,7250.859152972698,2.12%,7313.0
7,2020.03.20,013720,청보산업,0.04429514333605766,0,1560.0,2145.7115879654884,37.55%,2379.996223151684
8,2020.03.20,001210,금호전기,0.007289140485227108,0,1600.0,2562.420915812254,60.15%,2947.3892821371555
9,2020.03.20,018120,진로발효,0.012911230325698853,0,23450.000000000004,26443.23925828934,12.76%,27640.534961605073
10,2020.03.20,000540,흥국화재,0.007062542252242565,0,1525.0,2451.480156615376,60.75%,2822.0722192615262
11,2020.03.20,032580,피델릭스,0.003942994866520166,0,852.0000000000001,988.1023690104485,15.97%,1042.5433166146277
12,2020.03.20,015020,이스타코,0.005237498786300421,0,492.0,647.4794759079814,31.60%,709.671266271174
13,2020.03.20,003720,삼영화학공업,0.00391113618388772,0,867.0,1089.66871233657,25.68%,1178.736197271198
14,2020.03.20,023960,에쓰씨엔지니어링,0.023566262796521187,0,700.0,900.4719902575016,28.64%,980.6607863605022
15,2020.03.20,019570,리더스 기술투자,0.004404294770210981,0,401.99999999999994,703.7195387482643,75.05%,824.4073542475701
16,2020.03.20,007770,한일화학,0.006278593093156815,0,6660.0,12643.797255679965,89.85%,15037.316157951951
17,2020.03.20,024940,PN풍년,0.012002299539744854,0,1400.0,2664.002575483173,90.29%,3169.6036056764424
18,2020.03.20,066570,LG전자,0.02529972605407238,0,45100.0,55405.20393252373,22.85%,59527.28550553322
