no,code,name,rmse,invest_result,all_invest_result,train_cnt,invest_date
62,011390,부산산업,0.07307329773902893,7789518.109272291,6288615.125000001,0,2019.09.16~2020.03.15
63,011560,세보엠이씨,0.046344347298145294,9371220.549457306,6066767.102500001,0,2019.09.16~2020.03.15
64,008110,대동전자,0.01990359090268612,11246696.81120761,8879540.292499999,0,2019.09.16~2020.03.15
65,025540,한국단자공업,0.02686574123799801,9536067.16719911,6041823.899999999,0,2019.09.16~2020.03.15
66,001210,금호전기,0.005730370059609413,8766424.802052232,10130728.881000001,0,2019.09.16~2020.03.15
67,021820,세원정공,0.02801925130188465,10000000.0,10000000.0,0,2019.09.16~2020.03.15
68,008870,금비,0.011455163359642029,8779052.914050002,7847079.625,55,2019.09.16~2020.03.15
69,024940,PN풍년,0.008396399207413197,6561193.249,6561193.249,0,2019.09.16~2020.03.15
70,005670,푸드웰,0.02498997561633587,10323950.130741334,7153067.920499999,0,2019.09.16~2020.03.15
71,010640,진양폴리우레탄,0.010840073227882385,10000000.0,11463676.72675,0,2019.09.16~2020.03.15
72,007340,디티알오토모티브,0.02631491795182228,9120753.412549991,8239115.9799999995,1,2019.09.16~2020.03.15
73,032960,동일기연,0.029748763889074326,8795444.395687854,7319617.523999999,88,2019.09.16~2020.03.15
74,034810,해성산업,0.00935723353177309,8618731.30420354,8104498.858000003,0,2019.09.16~2020.03.15
75,015540,쎌마테라퓨틱스,0.044478680938482285,11060866.572266484,5968540.8999999985,0,2019.09.16~2020.03.15
76,023150,MH에탄올,0.003028053557500243,10524738.3193491,18052798.156000003,8,2019.09.16~2020.03.15
77,005800,신영와코루,0.01887108013033867,10157479.331345515,7699433.55,0,2019.09.16~2020.03.15
78,017650,대림제지,0.019156241789460182,10875575.857684057,10211793.746000001,0,2019.09.16~2020.03.15
79,008830,대동기어,0.1836892068386078,7013324.453749999,7013324.453749999,0,2019.09.16~2020.03.15
80,003920,남양유업,0.019034281373023987,7704909.5,7704909.5,0,2019.09.16~2020.03.15
81,005300,롯데칠성음료,0.05919817090034485,9550955.170915054,6994474.149999999,0,2019.09.16~2020.03.15
82,025950,동신건설,0.0038057700730860233,12129153.501159975,9076241.442999998,0,2019.09.16~2020.03.15
83,001460,BYC,0.012419597245752811,8620508.869000003,7780869.875000001,2,2019.09.16~2020.03.15
84,024830,세원물산,0.02289915829896927,10000000.0,10000000.0,0,2019.09.16~2020.03.15
85,001080,만호제강,0.005206547677516937,7793364.472900001,7605718.48,0,2019.09.16~2020.03.15
86,013720,청보산업,0.044168662279844284,9397283.419336347,8281900.547000001,0,2019.09.16~2020.03.15
87,006660,삼성공조,0.022678619250655174,9247372.635713894,7129748.687499998,0,2019.09.16~2020.03.15
88,009620,삼보산업,0.023520510643720627,3912863.917750001,3912863.917750001,0,2019.09.16~2020.03.15
89,001420,태원물산,0.005595281720161438,7771808.870653886,8124418.495,0,2019.09.16~2020.03.15
90,030270,에스마크,0.01771806925535202,10000000.0,10000000.0,0,2019.09.16~2020.03.15
91,023790,동일철강,0.0009493333054706454,4893047.623834999,5249259.32875,0,2019.09.16~2020.03.15
92,018120,진로발효,0.00796362105756998,11038428.892425004,9670050.924999997,0,2019.09.16~2020.03.15
93,004090,한국석유공업,0.031234361231327057,8427673.625949098,6240972.7,0,2019.09.16~2020.03.15
94,026910,광진실업,0.004414641764014959,7976781.606348065,5888439.121000001,0,2019.09.16~2020.03.15
95,023450,동남합성,0.08003745973110199,10000000.0,11558055.099999998,0,2019.09.16~2020.03.15
96,000440,중앙에너비스,0.014098833315074444,10760570.872751856,9648608.1865,0,2019.09.16~2020.03.15
97,032750,삼진,0.019838083535432816,7895680.68114858,6510708.865999999,0,2019.09.16~2020.03.15
98,002600,조흥,0.01739916019141674,10364689.979289385,8606695.75,1,2019.09.16~2020.03.15
99,023910,대한약품,0.03144931048154831,8890736.92134578,8270057.599999999,0,2019.09.16~2020.03.15
100,007540,샘표,0.03224881738424301,9638408.31516408,7000979.77,0,2019.09.16~2020.03.15
