no,last_date,code,name,rmse,train_cnt,last_close_money,last_pred_money,last_pred_ratio,trade_money
1,2020.03.19,000440,중앙에너비스,0.01686716079711914,0,4710.0,9108.990116288885,93.40%,10868.58616280444
2,2020.03.19,025950,동신건설,0.0035303726326674223,0,3920.0000000000005,5042.173202894628,28.63%,5491.042484052479
3,2020.03.19,005670,푸드웰,0.02237139828503132,0,3720.0,6176.574343703687,66.04%,7159.204081185162
4,2020.03.19,017650,대림제지,0.016112562268972397,0,1039.9999999999998,1692.252186127007,62.72%,1953.1530605778098
5,2020.03.19,006110,삼아알미늄,0.012711846269667149,0,2615.0,4148.657068610191,58.65%,4762.119896054268
6,2020.03.19,023150,MH에탄올,0.008196491748094559,0,6750.0,8029.530950039625,18.96%,8541.343330055475
7,2020.03.19,013720,청보산업,0.04413299262523651,0,1460.0,2149.6069100499153,47.23%,2425.4496740698814
8,2020.03.19,001210,금호전기,0.007270720787346363,0,1500.0,2683.252092450857,78.88%,3156.5529294312
9,2020.03.19,018120,진로발효,0.012603754177689552,0,21100.0,26754.951446890835,26.80%,29016.93202564717
10,2020.03.19,000540,흥국화재,0.0070013669319450855,0,1330.0,2552.211957968771,91.90%,3041.096741156279
11,2020.03.19,032580,피델릭스,0.003936556167900562,18,839.0,987.1490461751819,17.66%,1046.4086646452547
12,2020.03.19,015020,이스타코,0.005231414921581745,0,420.0,656.6777597516775,56.35%,751.3488636523484
13,2020.03.19,003720,삼영화학공업,0.0039072162471711636,0,849.0,1077.0664642639458,26.86%,1168.2930499695242
14,2020.03.19,023960,에쓰씨엔지니어링,0.023570377379655838,0,602.0,946.1417526006699,57.17%,1083.7984536409379
15,2020.03.19,019570,리더스 기술투자,0.0043698824010789394,0,409.99999999999994,703.7663756217808,71.65%,821.272925870493
16,2020.03.19,007770,한일화학,0.006182181183248758,0,6450.0,12650.853844359517,96.14%,15131.195382103324
17,2020.03.19,024940,PN풍년,0.011867543682456017,0,1315.0,2665.5387695133686,102.70%,3205.754277318716
18,2020.03.19,066570,LG전자,0.024981006979942322,0,43650.0,56003.52630019188,28.30%,60944.93682026863
