no,last_date,code,name,rmse,train_cnt,last_close_money,last_pred_money,last_pred_ratio,trade_money
1,2020.03.12,000440,중앙에너비스,0.016832908615469933,0,8180.0,11395.239519601688,39.31%,12681.335327442363
2,2020.03.12,025950,동신건설,0.003455932019278407,0,5400.0,6227.2184420377025,15.32%,6558.105818852783
3,2020.03.12,005670,푸드웰,0.022012270987033844,0,4550.0,6292.966268993914,38.31%,6990.15277659148
4,2020.03.12,017650,대림제지,0.015879781916737556,0,1460.0,1736.2448759377003,18.92%,1846.7428263127804
5,2020.03.12,006110,삼아알미늄,0.012555010616779327,0,3690.0,4176.86411883682,13.19%,4371.609766371548
6,2020.03.12,023150,MH에탄올,0.0076864296570420265,0,10850.0,6935.391226708889,-36.08%,5369.547717392445
7,2020.03.12,013720,청보산업,0.04351517930626869,0,2015.0,2381.3692313432693,18.18%,2527.916923880577
8,2020.03.12,001210,금호전기,0.007382881827652454,0,2475.0,3471.7656150460243,40.27%,3870.471861064434
9,2020.03.12,018120,진로발효,0.007477015722543001,0,29299.999999999996,30562.111368417744,4.31%,31066.95591578484
10,2020.03.12,000540,흥국화재,0.007191078271716833,0,2600.0,3147.469576582312,21.06%,3366.457407215237
11,2020.03.12,032580,피델릭스,0.003889110404998064,18,1065.0,1315.8293278887868,23.55%,1416.1610590443015
12,2020.03.12,015020,이스타코,0.0051432084292173386,0,552.0,801.8160699792206,45.26%,901.7424979709089
13,2020.03.12,003720,삼영화학공업,0.0038752839900553226,0,1005.0,1229.2006666474044,22.31%,1318.8809333063662
14,2020.03.12,023960,에쓰씨엔지니어링,0.023479260504245758,0,1040.0,1137.2026132792234,9.35%,1176.0836585909128
15,2020.03.12,019570,리더스 기술투자,0.004216283094137907,0,450.0,704.572050832212,56.57%,806.4008711650968
16,2020.03.12,007770,한일화학,0.005870308261364698,0,9480.0,12684.17502000928,33.80%,13965.845028012991
17,2020.03.12,024940,PN풍년,0.011100760661065578,0,1560.0,2694.319550693035,72.71%,3148.047370970249
18,2020.03.12,066570,LG전자,0.02326161600649357,0,55500.0,61005.89015483856,9.92%,63208.24621677399
